accuracy,precision,recall,f1_macro,f1_weighted,auc,seed,fold,experiment
0.551575,0.550208260402746,0.551575,0.5291179860013466,0.5506724059396256,0.7957403538938246,42,1,baseline_rf
0.5475,0.546828044928886,0.5475,0.5238046741350593,0.54692560938422,0.7944475872517611,42,2,baseline_rf
0.554725,0.5546732902129428,0.554725,0.5316884899012568,0.55444015525569,0.7973708116659607,42,3,baseline_rf
0.5535,0.5503093198018008,0.5535,0.5303160833609083,0.5515972165625903,0.7969923563659889,42,4,baseline_rf
0.5588,0.5564956672929479,0.5588,0.5357253355372159,0.5575592370863138,0.7984079426350434,42,5,baseline_rf
0.5488,0.5483446830997303,0.5488,0.5255719473417562,0.5483158563158411,0.7941729624410758,123,1,baseline_rf
0.5549,0.5522376999771222,0.5549,0.5315075852827555,0.5533020491702677,0.7961563562907235,123,2,baseline_rf
0.554725,0.5528973990770789,0.554725,0.5311800823613235,0.5536136554085531,0.7974990862257567,123,3,baseline_rf
0.551475,0.5505453026754212,0.551475,0.5285130751640371,0.550822699758093,0.7956721247403248,123,4,baseline_rf
0.552375,0.5504694593000418,0.552375,0.5286465207294119,0.5510725759534436,0.7963860166364956,123,5,baseline_rf
0.55295,0.5499800427021561,0.55295,0.5288405213651356,0.5511991028963452,0.7965684019438636,7,1,baseline_rf
0.553775,0.550991462847068,0.553775,0.5296794867863451,0.5522194862767904,0.7970724458331185,7,2,baseline_rf
0.552275,0.5509798908401381,0.552275,0.5303708158830568,0.5514071781007945,0.7948429914143758,7,3,baseline_rf
0.552175,0.5514684462874914,0.552175,0.5302475504711825,0.5515425136879153,0.7960772832218017,7,4,baseline_rf
0.55035,0.5498689544520449,0.55035,0.526758331552022,0.5500340602517133,0.7953294276528748,7,5,baseline_rf
