Episodio,Recompensa_Media,Loss_Disc,Loss_Gen,Precision_Disc
10,-0.9121357174550256,0.6927369236946106,2787.09375,0.748046875
20,-0.9310703802783212,0.69198077917099,1195.836181640625,0.794921875
30,-0.9166505387595909,0.6912283897399902,228.28797912597656,0.837890625
40,-0.918895242303732,0.6904214024543762,607.5305786132812,0.8475624918937683
50,-0.7397271774026808,0.6904388070106506,873.058349609375,0.7698124945163727
60,-0.9377971946014626,0.688981831073761,205.4203643798828,0.828125
70,-0.9365999342308039,0.6880373954772949,156.6750946044922,0.828125
80,-0.8314978476947965,0.687279462814331,317.0531311035156,0.8236093819141388
90,-0.9429990121578817,0.685808539390564,177.7470703125,0.849609375
100,-0.9481395612138176,0.6850583553314209,98.40625762939453,0.830078125
110,-0.9476851798565195,0.6837451457977295,95.23619079589844,0.83203125
120,-0.9488165568191286,0.6819896101951599,91.3238296508789,0.849609375
130,-0.9518017082176841,0.681492030620575,92.28870391845703,0.82421875
140,-0.9514930657144401,0.6793195009231567,99.68555450439453,0.84375
150,-0.954481766715917,0.6785421967506409,84.4336929321289,0.822265625
160,-0.9559843649482314,0.676297664642334,83.35226440429688,0.833984375
170,-0.9575632277509712,0.6736195683479309,79.95730590820312,0.849609375
180,-0.9593823763033098,0.6725535988807678,84.58257293701172,0.8359375
190,-0.9604665170021345,0.6706571578979492,79.27422332763672,0.833984375
200,-0.9614140450107059,0.6681231260299683,72.77473449707031,0.845703125
210,-0.9639787691605165,0.6672536730766296,67.62696838378906,0.828125
220,-0.9646785676060833,0.6624822020530701,66.30461120605469,0.849609375
230,-0.9657223755006794,0.6605989933013916,112.78080749511719,0.845703125
240,-0.9656513572268102,0.6574538350105286,104.53659057617188,0.849609375
250,-0.9698836019378151,0.6566978096961975,180.75010681152344,0.833984375
260,-0.9730668348400514,0.6526845693588257,165.0597686767578,0.83984375
270,-0.9760601440770053,0.6501080989837646,150.95919799804688,0.837890625
280,-0.975688972506992,0.6514537930488586,119.16203308105469,0.810546875
290,-0.9747238475034951,0.642633318901062,70.86050415039062,0.84765625
300,-0.9730075547751628,0.6426191329956055,118.90522766113281,0.82421875
310,-0.9720868363707703,0.6388430595397949,158.07717895507812,0.828125
320,-0.9712975273436277,0.6328520178794861,78.68303680419922,0.841796875
330,-0.9701955769374766,0.632915198802948,63.72301483154297,0.826171875
340,-0.968860675446848,0.6246230006217957,63.37412643432617,0.84375
350,-0.9678809332668575,0.6215827465057373,61.39362335205078,0.84375
360,-0.9674953768551896,0.6238600015640259,67.17696380615234,0.8203125
370,-0.9666341425988354,0.616417407989502,80.27488708496094,0.833984375
380,-0.9653526057456667,0.6096943020820618,70.28863525390625,0.845703125
390,-0.9638825960453171,0.6084614396095276,56.427635192871094,0.8359375
400,-0.9629065702318744,0.5967799425125122,92.39442443847656,0.861328125
410,-0.9611859369925335,0.6040449738502502,71.26000213623047,0.826171875
420,-0.9593554424791104,0.5882920622825623,110.31137084960938,0.865234375
430,-0.9587756870853318,0.599338173866272,63.97407913208008,0.8225806355476379
440,-0.9574236925937799,0.5917497277259827,57.855411529541016,0.828125
450,-0.9560799570645715,0.5805773735046387,49.792850494384766,0.8515625
460,-0.9550146249776916,0.5819710493087769,124.11817169189453,0.83984375
470,-0.9563577791270441,0.5746035575866699,78.79275512695312,0.84765625
480,-0.957886702620131,0.5760802030563354,68.23896789550781,0.833984375
490,-0.9596113863331043,0.5723103284835815,85.74862670898438,0.8359375
500,-0.9602524032589529,0.5596040487289429,54.74953842163086,0.85546875
510,-0.9614922150781483,0.5731711387634277,50.94401168823242,0.818359375
520,-0.9606620658439914,0.5601214170455933,52.796470642089844,0.841796875
530,-0.9605234250643037,0.5466510057449341,84.12389373779297,0.861328125
540,-0.9622868552398289,0.5612141489982605,77.57825469970703,0.826171875
550,-0.9620791952575549,0.5429245233535767,69.7270736694336,0.857421875
560,-0.961084369421485,0.5345625877380371,180.5249481201172,0.861328125
570,-0.9605976849852148,0.543735146522522,138.92701721191406,0.84375
580,-0.9564252147450716,0.5354530811309814,132.3613739013672,0.85546875
590,-0.957317650312642,0.5302509069442749,278.904296875,0.857421875
600,-0.9552083934254681,0.5274245142936707,124.12877655029297,0.859375
610,-0.9521861508960019,0.5381373763084412,65.32962799072266,0.8359375
620,-0.9501747830250884,0.5332722067832947,58.299320220947266,0.841796875
630,-0.9471999175819312,0.5273021459579468,56.28852844238281,0.84765625
640,-0.9452186180458454,0.5315074920654297,51.1164665222168,0.8359375
650,-0.9415764035606372,0.5197460651397705,71.45735931396484,0.8515625
660,-0.9380906403437923,0.529120922088623,96.34673309326172,0.833984375
670,-0.9379198831200444,0.5090000629425049,88.2757339477539,0.865234375
680,-0.9299654874412773,0.5212879180908203,60.585418701171875,0.84375
690,-0.9318860552140729,0.5583972930908203,45.14036560058594,0.7890625
700,-0.9290546352269853,0.523246169090271,36.87053298950195,0.837890625
710,-0.9255901303654377,0.5236234664916992,34.44480514526367,0.8359375
720,-0.9205777783373199,0.5180830955505371,86.57891845703125,0.83984375
730,-0.9158862866010976,0.5297694206237793,53.237953186035156,0.826171875
740,-0.9147763902024008,0.49113959074020386,42.59349822998047,0.876953125
750,-0.9133146224670361,0.4987613558769226,30.487064361572266,0.86328125
760,-0.9083871896396799,0.5227802395820618,29.031274795532227,0.830078125
770,-0.905833777730767,0.5085999369621277,36.98097229003906,0.84765625
780,-0.9044467518371209,0.5214920043945312,99.77564239501953,0.83203125
790,-0.8963024492824347,0.5055562257766724,67.46419525146484,0.8515625
800,-0.8947880606129043,0.5010470151901245,38.540565490722656,0.857421875
810,-0.8872714041315602,0.5003699064254761,23.80059814453125,0.857421875
820,-0.888124941891567,0.5098891258239746,45.7218132019043,0.845703125
830,-0.8836368881270048,0.4844871163368225,37.86907958984375,0.876953125
840,-0.8777437763981036,0.5129938721656799,28.32314682006836,0.83984375
850,-0.883683914937211,0.5110114812850952,23.09720230102539,0.841796875
860,-0.876708670447652,0.4995213747024536,43.10452651977539,0.8568548262119293
870,-0.871884441301069,0.5064378380775452,24.47470474243164,0.845703125
880,-0.8598600806010636,0.4945254325866699,21.44304656982422,0.861328125
890,-0.8676744467591466,0.4924692213535309,26.62846565246582,0.865234375
900,-0.857441153032249,0.5043010711669922,24.222064971923828,0.84765625
910,-0.8637725254351833,0.5102078914642334,26.42906951904297,0.83984375
920,-0.8467776070431451,0.5033117532730103,20.91948890686035,0.849609375
930,-0.8467885603434195,0.49994510412216187,29.292436599731445,0.85546875
940,-0.842857668695321,0.5097059011459351,24.992046356201172,0.83984375
950,-0.842793938548786,0.5074378848075867,31.328462600708008,0.841796875
960,-0.8385892338844184,0.5039403438568115,79.3740005493164,0.84765625
970,-0.8418678106158308,0.5172536373138428,55.522438049316406,0.830078125
980,-0.820718978822188,0.5164093375205994,24.317703247070312,0.83203125
990,-0.8291489878407057,0.5214014649391174,18.030393600463867,0.826171875
1000,-0.8280967529634157,0.5256388187408447,56.4637565612793,0.8203125
1010,-0.8189063258632432,0.5235395431518555,22.018346786499023,0.8203125
1020,-0.8137119711191959,0.4992351531982422,40.670936584472656,0.8515625
1030,-0.811649526160835,0.4986537992954254,17.409257888793945,0.85546875
1040,-0.8032769127624948,0.49848461151123047,16.233341217041016,0.85546875
1050,-0.810130686049632,0.4799495041370392,15.465645790100098,0.876953125
1060,-0.7986115360929351,0.48666125535964966,37.877464294433594,0.869140625
1070,-0.7998369729903151,0.5160622596740723,17.612424850463867,0.830078125
1080,-0.7993615002562493,0.49916040897369385,19.842754364013672,0.8515625
1090,-0.7860254214922535,0.5082774758338928,19.26287078857422,0.83984375
1100,-0.7818994396462854,0.5123050212860107,19.1093692779541,0.8359375
1110,-0.7893259997421654,0.4900017976760864,20.300662994384766,0.86328125
1120,-0.7803446862442991,0.518295407295227,14.379023551940918,0.828125
1130,-0.7697362215814066,0.5088812112808228,17.156091690063477,0.83984375
1140,-0.7788598435174223,0.508338451385498,18.695276260375977,0.83984375
1150,-0.768090903224672,0.5030461549758911,15.067727088928223,0.84765625
1160,-0.7759827753450944,0.5180891752243042,14.124878883361816,0.826171875
1170,-0.7656158414076245,0.5138964056968689,15.700031280517578,0.833984375
1180,-0.7686899010369529,0.49024441838264465,14.232170104980469,0.86328125
1190,-0.7552189182547673,0.48239606618881226,17.149890899658203,0.875
1200,-0.7505731582571867,0.5123986601829529,13.960623741149902,0.8359375
1210,-0.7427047241633468,0.4984104633331299,14.212578773498535,0.853515625
1220,-0.7568735517147612,0.5015965104103088,12.516646385192871,0.84765625
1230,-0.7378569196631931,0.49704915285110474,15.582703590393066,0.85546875
1240,-0.7421878875556484,0.5198618769645691,11.301090240478516,0.828125
1250,-0.7392765751757593,0.5119932293891907,11.975271224975586,0.837890625
1260,-0.7355179795573785,0.5055588483810425,14.553519248962402,0.84375
1270,-0.7176613882714716,0.4836665391921997,17.82542610168457,0.87109375
1280,-0.7430525049454039,0.5103268027305603,13.099445343017578,0.8359375
1290,-0.7266838676532226,0.5082429647445679,20.0032901763916,0.838709682226181
1300,-0.7132011994316992,0.4929642677307129,14.40343952178955,0.861328125
1310,-0.7292882750769187,0.5113765001296997,15.013937950134277,0.833984375
1320,-0.7116836547299676,0.5174670815467834,13.148353576660156,0.828125
1330,-0.7189959132831062,0.5053580403327942,9.606771469116211,0.84375
1340,-0.7036471413697374,0.5044316649436951,13.516816139221191,0.845703125
1350,-0.7178922095887516,0.4899815320968628,10.773151397705078,0.86328125
1360,-0.7103149182031796,0.5191043615341187,9.880900382995605,0.826171875
1370,-0.7120279954977504,0.5199214816093445,15.8456449508667,0.826171875
1380,-0.7001618720363204,0.4987295866012573,14.980779647827148,0.849609375
1390,-0.7004404941568441,0.523885190486908,16.432514190673828,0.818359375
1400,-0.694946017817473,0.4884728789329529,15.25623893737793,0.86328125
1410,-0.682536397034434,0.5002638697624207,9.836230278015137,0.84765625
1420,-0.6998462149195628,0.498141884803772,9.10496711730957,0.8515625
1430,-0.6974777826513375,0.5133973360061646,20.52146339416504,0.830078125
1440,-0.6732946250078984,0.4979463219642639,10.18150520324707,0.853515625
1450,-0.6910573065013035,0.4985434114933014,18.95743179321289,0.849609375
1460,-0.687196068647511,0.521866500377655,16.975566864013672,0.822265625
1470,-0.6845515601934132,0.5292036533355713,16.730274200439453,0.8125
1480,-0.6719311968867024,0.506954550743103,11.485093116760254,0.83984375
1490,-0.673580577553464,0.5003944039344788,14.029915809631348,0.845703125
