cluster,NP,BDSP,BLD,ELEP,GASP,RMSP,TEN,VEH,WATP,HHL,HHT,HINCP,HUPAC,OCPIP,SMOCP
0,3.49,3.65,2.09,264.92,120.94,7.74,1.36,2.64,842.81,1.5,1.44,173166.38,2.94,21.77,2177.64
1,1.5,2.48,3.24,147.81,78.52,5.27,2.13,1.61,542.24,1.24,2.82,69954.26,3.84,20.34,1093.98
