representation,seed,k,dims,clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,n_samples
full_scaled,42,2,15,2,0.0,0.16953784227371216,2.0067878490517352,3327.9815767766177,20000
full_scaled,52,2,15,2,0.0,0.23690903186798096,2.0516080271233967,3594.217402765623,20000
full_scaled,62,2,15,2,0.0,0.17311394214630127,2.0270055566290828,3365.359842583487,20000
pca_reduced,42,2,11,2,0.0,0.1954651176929474,1.7519687164269866,3625.587889701608,20000
pca_reduced,52,2,11,2,0.0,0.24732373654842377,1.9501020299784315,3972.9979202526715,20000
pca_reduced,62,2,11,2,0.0,0.2479284703731537,1.9416201417833576,3995.439640402877,20000
