subset,k,seed,inertia,clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,n_samples
full,2,42,232932.796875,2,0.0,0.1954651176929474,1.7519687164269866,3625.587889701608,20000
full,2,52,229653.78125,2,0.0,0.24732373654842377,1.9501020299784315,3972.9979202526715,20000
full,2,62,229204.640625,2,0.0,0.2479284703731537,1.9416201417833576,3995.439640402877,20000
full,3,42,214560.703125,3,0.0,0.17452695965766907,2.2146790857895517,2815.416698876064,20000
full,3,52,202661.390625,3,0.0,0.2155766785144806,1.8248701716211928,3592.9769458316596,20000
full,3,62,201566.59375,3,0.0,0.2179691195487976,1.8034216070172506,3642.5922941454382,20000
full,4,42,195325.671875,4,0.0,0.11926589161157608,2.308050252192862,2723.0728723896987,20000
full,4,52,188400.6875,4,0.0,0.2227495163679123,1.8551744493970532,3077.349111574331,20000
full,4,62,188333.953125,4,0.0,0.2022959291934967,1.7915584336849062,3072.1665039074724,20000
full,5,42,175778.1875,5,0.0,0.231437548995018,1.748150142672237,2831.115772657205,20000
full,5,52,181864.34375,5,0.0,0.22933439910411835,1.7150793713938857,2684.9897920118938,20000
full,5,62,175900.53125,5,0.0,0.21378593146800995,1.8426172891085202,2829.040838160028,20000
full,6,42,164092.59375,6,0.0,0.23673678934574127,1.6582424410387935,2755.1047214027967,20000
full,6,52,170361.46875,6,0.0,0.15875305235385895,1.8663080720109946,2460.6400460464533,20000
full,6,62,168614.421875,6,0.0,0.2226073443889618,1.9304910693896378,2535.6966883838036,20000
full,7,42,160911.375,7,0.0,0.14842668175697327,1.875861557702099,2366.868461948543,20000
full,7,52,155305.875,7,0.0,0.2025088220834732,1.5815108584498088,2576.932917705144,20000
full,7,62,165208.75,7,0.0,0.21308477222919464,1.8803696185450032,2239.2850748851315,20000
full,8,42,155359.9375,8,0.0,0.18790937960147858,1.760155060553374,2207.691681183891,20000
full,8,52,150724.71875,8,0.0,0.20066580176353455,1.8263662464085553,2384.912499595717,20000
full,8,62,155018.9375,8,0.0,0.1923963576555252,1.7856378531487427,2217.915031956861,20000
full,9,42,142796.15625,9,0.0,0.18633510172367096,1.6319416879347217,2329.9556073238814,20000
full,9,52,153641.78125,9,0.0,0.1964121311903,1.773923047572844,2016.1207276380671,20000
full,9,62,154474.78125,9,0.0,0.15948867797851562,2.02437949703682,1981.4927894827479,20000
full,10,42,137322.6875,10,0.0,0.1617708057165146,1.8780477889755331,2230.531570947042,20000
full,10,52,138249.8125,10,0.0,0.15076732635498047,1.8075597058101551,2220.867963138562,20000
full,10,62,127852.09375,10,0.0,0.21509411931037903,1.4377850413534397,2591.842106749847,20000
full,11,42,134935.578125,11,0.0,0.16360405087471008,1.8619600459778511,2082.2104587943936,20000
full,11,52,127712.0859375,11,0.0,0.18183653056621552,1.5125812309878202,2331.073870823275,20000
full,11,62,142000.0,11,0.0,0.19245707988739014,1.8792933198856496,1889.4305445116256,20000
full,12,42,126158.203125,12,0.0,0.21243083477020264,1.5278538837699631,2185.680437240658,20000
full,12,52,122276.6171875,12,0.0,0.21945805847644806,1.5847936864156553,2274.904389021276,20000
full,12,62,119498.15625,12,0.0,0.2097904235124588,1.541329254809906,2369.5677826394954,20000
spatial,2,42,46710.5234375,2,0.0,0.4749533236026764,0.9065459142440211,14256.04202535998,20000
spatial,2,52,54350.859375,2,0.0,0.27338463068008423,1.2788485368563867,9472.801305662857,20000
spatial,2,62,46706.37890625,2,0.0,0.4725550711154938,0.9156330608018216,14260.028390417272,20000
spatial,3,42,34144.02734375,3,0.0,0.3690047264099121,1.0202260430228414,13446.85894411429,20000
spatial,3,52,34146.296875,3,0.0,0.3519582748413086,1.0461480584230756,13443.098488373511,20000
spatial,3,62,34122.43359375,3,0.0,0.35962191224098206,1.0455177130724367,13445.105205482272,20000
spatial,4,42,27267.060546875,4,0.0,0.36652427911758423,0.9353571967982182,12893.877605401176,20000
spatial,4,52,27314.49609375,4,0.0,0.36621302366256714,0.935804706469247,12893.61263119123,20000
spatial,4,62,30345.98046875,4,0.0,0.331164687871933,1.1636455031354944,10930.326927369713,20000
spatial,5,42,23727.537109375,5,0.0,0.36477720737457275,1.039327982924996,11886.279060634843,20000
spatial,5,52,23525.775390625,5,0.0,0.3758091330528259,1.0026535373192518,12001.580179355538,20000
spatial,5,62,23768.66796875,5,0.0,0.3649679720401764,1.046920099716353,11831.62264336055,20000
spatial,6,42,21975.6171875,6,0.0,0.3615754246711731,1.13719964907848,10574.76312538231,20000
spatial,6,52,21625.9609375,6,0.0,0.3624098002910614,1.0242018831920303,10901.795840849027,20000
spatial,6,62,21695.541015625,6,0.0,0.35913723707199097,1.1658048919809803,10758.603007812875,20000
spatial,7,42,19110.28125,7,0.0,0.3885401487350464,1.0531325861078304,10639.39362340977,20000
spatial,7,52,19241.107421875,7,0.0,0.3852841258049011,1.0582158726429847,10528.188288006171,20000
spatial,7,62,19914.259765625,7,0.0,0.37013596296310425,1.1080920609497436,10064.88296520542,20000
spatial,8,42,17522.310546875,8,0.0,0.3763239085674286,1.1181889321831249,10187.831709530503,20000
spatial,8,52,18533.337890625,8,0.0,0.3510451316833496,1.163581866400682,9519.948407727681,20000
spatial,8,62,18171.8671875,8,0.0,0.37141522765159607,1.1450821759754624,9802.238754727041,20000
spatial,9,42,16380.724609375,9,0.0,0.396441787481308,1.0238108112288515,9743.514744417653,20000
spatial,9,52,16861.240234375,9,0.0,0.38207876682281494,1.1328563241684602,9365.1156107198,20000
spatial,9,62,17007.625,9,0.0,0.38457849621772766,1.1236208230867357,9263.851994488821,20000
spatial,10,42,15542.19140625,10,0.0,0.3946947157382965,1.0845143056623174,9225.60136997644,20000
spatial,10,52,14594.33984375,10,0.0,0.40591537952423096,1.0189559004725532,9960.825484484716,20000
spatial,10,62,15387.6572265625,10,0.0,0.39833393692970276,1.1142722056336676,9339.370727277239,20000
spatial,11,42,14095.1494140625,11,0.0,0.4100411534309387,1.0366303513297521,9387.669105122972,20000
spatial,11,52,14095.47265625,11,0.0,0.39794403314590454,1.0672419563046887,9381.552297654564,20000
spatial,11,62,14686.29296875,11,0.0,0.40087851881980896,1.1064121548106585,8993.265477610725,20000
spatial,12,42,13071.291015625,12,0.0,0.3907248377799988,1.016162440054054,9309.238938440816,20000
spatial,12,52,13278.9931640625,12,0.0,0.3980735242366791,1.0272154645783675,9156.78757969829,20000
spatial,12,62,13021.9423828125,12,0.0,0.4189456105232239,0.949175322653022,9356.178149973051,20000
economic,2,42,98100.4765625,2,0.0,0.612891674041748,1.541842336382972,4484.58787316873,20000
economic,2,52,109409.015625,2,0.0,0.38243621587753296,1.701140598516498,2385.7250516719214,20000
economic,2,62,98143.609375,2,0.0,0.5562251806259155,1.584213541752631,4477.580259608103,20000
economic,3,42,84202.203125,3,0.0,0.5674412846565247,1.3823978284895093,4256.24096740939,20000
economic,3,52,92921.3125,3,0.0,0.28665876388549805,1.9177248051129814,3023.9030665357677,20000
economic,3,62,84265.953125,3,0.0,0.564658522605896,1.387619896757867,4247.599616419959,20000
economic,4,42,81194.6640625,4,0.0,0.18945686519145966,1.7410430396171521,3192.363647597432,20000
economic,4,52,82211.28125,4,0.0,0.3464120626449585,1.5836498199714808,3126.0850440911695,20000
economic,4,62,75347.46875,4,0.0,0.5396134853363037,1.4025442316467847,4388.193025436633,20000
economic,5,42,66681.4609375,5,0.0,0.4744589328765869,1.343479378041931,4196.36662219017,20000
economic,5,52,73474.3828125,5,0.0,0.4172791540622711,1.4558348838207114,3209.3195615479476,20000
economic,5,62,79136.046875,5,0.0,0.2693849503993988,1.7127051323934324,2648.798027723566,20000
economic,6,42,72045.1015625,6,0.0,0.16506101191043854,1.757032318008279,2733.803626028655,20000
economic,6,52,72929.4765625,6,0.0,0.13170957565307617,1.8931116058625825,2653.2163894091,20000
economic,6,62,68923.6953125,6,0.0,0.3475319445133209,1.4926239910613577,2979.285436027395,20000
economic,7,42,71381.15625,7,0.0,0.19594912230968475,1.741283147569249,2294.978367740969,20000
economic,7,52,66157.2890625,7,0.0,0.3162919580936432,1.5927209323026787,2860.763395988136,20000
economic,7,62,58581.6796875,7,0.0,0.37008020281791687,1.2956727437457913,3649.7654457845947,20000
economic,8,42,55462.21875,8,0.0,0.31881093978881836,1.3378269016063142,3538.719320129959,20000
economic,8,52,64751.78125,8,0.0,0.14638108015060425,1.5962260887873376,2463.630407106122,20000
economic,8,62,64672.21875,8,0.0,0.1659659594297409,1.7401318303928062,2578.9163656100845,20000
economic,9,42,52540.37109375,9,0.0,0.3150455951690674,1.383604802270674,3390.396544859596,20000
economic,9,52,53047.3359375,9,0.0,0.25448936223983765,1.371020309589716,3393.161154849748,20000
economic,9,62,52392.984375,9,0.0,0.181921124458313,1.4543842449510704,3361.5124183022394,20000
economic,10,42,50980.05078125,10,0.0,0.251155823469162,1.3634876852509195,3364.7110851327784,20000
economic,10,52,50764.55859375,10,0.0,0.3458667993545532,1.2916327716301799,3567.881910858839,20000
economic,10,62,44601.8359375,10,0.0,0.2566806674003601,1.2000188174472082,4282.233355856066,20000
economic,11,42,53207.6796875,11,0.0,0.2134113758802414,1.4357178915283377,2896.6442310034618,20000
economic,11,52,47788.1015625,11,0.0,0.2648148536682129,1.273076559533739,3317.907107372336,20000
economic,11,62,53213.375,11,0.0,0.25229907035827637,1.4067261094232881,2785.4144946261936,20000
economic,12,42,44063.51171875,12,0.0,0.1798832267522812,1.2919628604003794,3590.0738174325493,20000
economic,12,52,51415.46875,12,0.0,0.2510594129562378,1.449177654561763,2724.207935565479,20000
economic,12,62,44824.46484375,12,0.0,0.21451088786125183,1.3566772627239299,3214.9084922462293,20000
household,2,42,69272.1484375,2,0.0,0.4077359735965729,1.2654684837438157,8876.234642035939,20000
household,2,52,74797.328125,2,0.0,0.30691277980804443,1.2305015669828334,6739.51113441437,20000
household,2,62,69293.828125,2,0.0,0.4142519533634186,1.240936647769309,8868.33354973816,20000
household,3,42,50467.7421875,3,0.0,0.3971317708492279,1.0465999113299513,9818.50507785312,20000
household,3,52,50480.75,3,0.0,0.4057680070400238,1.046768491108309,9817.518929522526,20000
household,3,62,50453.61328125,3,0.0,0.41146332025527954,1.04569251488915,9819.629280913288,20000
household,4,42,38827.39453125,4,0.0,0.43716782331466675,0.9452856270815972,10504.103960628787,20000
household,4,52,38886.90234375,4,0.0,0.4433884620666504,0.9478995664928208,10495.94586193978,20000
household,4,62,38842.375,4,0.0,0.4474852681159973,0.9458048587091947,10500.561088069424,20000
household,5,42,33444.7265625,5,0.0,0.44000351428985596,0.9865693820002907,9952.705309634812,20000
household,5,52,33418.70703125,5,0.0,0.42856961488723755,0.9631554717129728,9969.493555039646,20000
household,5,62,36072.046875,5,0.0,0.4467022120952606,1.2133621787272544,8866.90596645302,20000
household,6,42,30394.056640625,6,0.0,0.42421504855155945,1.136302711048699,9167.333599121748,20000
household,6,52,30722.294921875,6,0.0,0.4489723742008209,1.0429378841206733,9024.641910883107,20000
household,6,62,30713.88671875,6,0.0,0.44121253490448,1.0522151224782403,9035.229567300497,20000
household,7,42,28828.28515625,7,0.0,0.3426635265350342,1.0522679588590875,8238.833289337994,20000
household,7,52,28819.10546875,7,0.0,0.4016469717025757,1.2062790679349635,8249.574968441058,20000
household,7,62,28306.6875,7,0.0,0.40526795387268066,1.1682073710302683,8476.981238699234,20000
household,8,42,26648.0,8,0.0,0.4187749922275543,1.1998062843211814,7886.015296683916,20000
household,8,52,27670.986328125,8,0.0,0.4280868172645569,1.1830070929307694,7486.257222075966,20000
household,8,62,25457.591796875,8,0.0,0.42670994997024536,1.1621617691627542,8366.807677665463,20000
household,9,42,24428.337890625,9,0.0,0.3601126968860626,1.2227156494216347,7782.040024103727,20000
household,9,52,23213.15625,9,0.0,0.4169943332672119,1.1213051083584777,8278.643741404678,20000
household,9,62,25361.48046875,9,0.0,0.3658674955368042,1.048522213046203,7355.934707355666,20000
household,10,42,22809.49609375,10,0.0,0.40872031450271606,1.1324522880248142,7535.9027180682315,20000
household,10,52,22426.314453125,10,0.0,0.40962666273117065,1.187518004941687,7711.319127049315,20000
household,10,62,23044.03125,10,0.0,0.4183870553970337,1.1287434973444792,7424.405067871466,20000
household,11,42,22606.716796875,11,0.0,0.3703792989253998,1.1977195550459714,6869.868998765788,20000
household,11,52,22511.974609375,11,0.0,0.35897132754325867,1.0782585130518423,6923.210103360144,20000
household,11,62,21606.63671875,11,0.0,0.3893018662929535,1.1696522093589998,7275.219482494294,20000
household,12,42,21865.609375,12,0.0,0.3713096082210541,1.142294487586531,6511.567901796603,20000
household,12,52,20291.826171875,12,0.0,0.42329150438308716,1.1306334498922352,7249.106022707542,20000
household,12,62,20188.193359375,12,0.0,0.41771143674850464,1.1053175305993321,7190.215827656501,20000
