accuracy,precision,recall,f1_macro,f1_weighted,f1_binary,auc,seed,fold,experiment
0.775,0.7727697682428776,0.7818489570368895,0.77497635845366,0.7749863916952775,0.77728285077951,0.854287719009363,42,1,baseline_lr
0.77475,0.7705799013141824,0.7852342310947379,0.7747064710372691,0.7747200934104977,0.777838051089851,0.8572600652535847,42,2,baseline_lr
0.771425,0.766499439871414,0.7834810315642736,0.7713706020644558,0.7713857664808474,0.7748972105276116,0.8529502485500957,42,3,baseline_lr
0.772925,0.7691141221934158,0.7827840286766903,0.7728852774930868,0.772898192939569,0.7758888696982408,0.8557451039769726,42,4,baseline_lr
0.769925,0.7617741857891952,0.7883600517773574,0.7698153560046603,0.7698369582580377,0.7748391358598586,0.8521061879434151,42,5,baseline_lr
0.775475,0.7685203094777563,0.7912082441379997,0.7753924161431878,0.7754111509425167,0.7796992665636422,0.8553720345273234,123,1,baseline_lr
0.771975,0.7667088238155463,0.7846866132324389,0.7719156945167571,0.7719316932052598,0.7755935539426744,0.8544486858052572,123,2,baseline_lr
0.771475,0.7664183827467017,0.7837797470875236,0.7714188363223153,0.7714342432642001,0.7750018460629631,0.8549577694191566,123,3,baseline_lr
0.772525,0.7651175136335119,0.7893059842676491,0.7724323730065551,0.7724521150671159,0.7770235498811479,0.8541366104859278,123,4,baseline_lr
0.771625,0.7701949173451764,0.777058647814398,0.7716074136281039,0.7716160314513693,0.7736115585735174,0.8542503525890193,123,5,baseline_lr
0.7733,0.7690842490842491,0.7839398616020312,0.7732552400175177,0.7732690980903859,0.7764410038952715,0.8557097609179509,7,1,baseline_lr
0.773175,0.7686603571080105,0.7843879125802758,0.7731264738797021,0.7731409072898421,0.7764444991992115,0.8547174158903021,7,2,baseline_lr
0.76865,0.7655683044032559,0.7773075774171064,0.7686166808020355,0.7686286201813061,0.7713932806324111,0.8517139181903473,7,3,baseline_lr
0.7754,0.7703848027277156,0.7874141192870656,0.7753467212284065,0.7753615977685268,0.7788063817214891,0.8565459637848704,7,4,baseline_lr
0.7725,0.7662369135323769,0.7870656178432739,0.7724266753058502,0.7724442405529167,0.7765116164841103,0.8537456957579145,7,5,baseline_lr
